sample_id,dashcam_path,osm_path,gt_road_type,gt_traffic_density,gt_road_complexity,gt_hazard_presence,gt_anticipated_risk,gt_recommended_action,qwen_both_road_type,qwen_both_traffic_density,qwen_both_road_complexity,qwen_both_hazard_presence,qwen_dashcam_recommended_action,qwen_both_recommended_action,qwen_osm_recommended_action,qwen_dashcam_anticipated_risk,qwen_map_anticipated_risk,qwen_both_anticipated_risk,correct_road_type,correct_traffic_density,correct_road_complexity,correct_hazard_presence,correct_anticipated_risk,correct_recommended_action,fusion_correct_count
sample_014,/content/images/images_dashcam_sample100/sample_014.jpg,/content/topviews/topviews_locationmarked_100samples/sample_014_topview.png,junction,high,complex,yes,high,slow_down,highway,high,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,True,False,False,False,True,2
sample_015,/content/images/images_dashcam_sample100/sample_015.jpg,/content/topviews/topviews_locationmarked_100samples/sample_015_topview.png,junction,high,complex,yes,high,slow_down,highway,high,moderate,no,slow_down,slow_down,maintain_speed,medium,medium,medium,False,True,False,False,False,True,2
sample_016,/content/images/images_dashcam_sample100/sample_016.jpg,/content/topviews/topviews_locationmarked_100samples/sample_016_topview.png,junction,high,complex,yes,high,yield,highway,high,moderate,no,slow_down,slow_down,maintain_speed,medium,medium,medium,False,True,False,False,False,False,1
sample_017,/content/images/images_dashcam_sample100/sample_017.jpg,/content/topviews/topviews_locationmarked_100samples/sample_017_topview.png,junction,high,complex,yes,high,increase_attention,highway,high,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,False,False,False,False,1
sample_018,/content/images/images_dashcam_sample100/sample_018.jpg,/content/topviews/topviews_locationmarked_100samples/sample_018_topview.png,highway,high,moderate,no,medium,slow_down,highway,high,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,True,True,True,True,True,True,6
sample_019,/content/images/images_dashcam_sample100/sample_019.jpg,/content/topviews/topviews_locationmarked_100samples/sample_019_topview.png,residential,low,moderate,yes,medium,increase_attention,junction,medium,simple,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,False,False,False,True,False,1
sample_020,/content/images/images_dashcam_sample100/sample_020.jpg,/content/topviews/topviews_locationmarked_100samples/sample_020_topview.png,residential,low,simple,no,low,maintain_speed,urban_arterial,low,simple,no,maintain_speed,maintain_speed,maintain_speed,low,medium,low,False,True,True,True,True,True,5
sample_021,/content/images/images_dashcam_sample100/sample_021.jpg,/content/topviews/topviews_locationmarked_100samples/sample_021_topview.png,junction,medium,complex,no,medium,increase_attention,urban_arterial,medium,moderate,no,maintain_speed,maintain_speed,slow_down,low,medium,medium,False,True,False,True,True,False,3
sample_022,/content/images/images_dashcam_sample100/sample_022.jpg,/content/topviews/topviews_locationmarked_100samples/sample_022_topview.png,junction,low,complex,yes,medium,increase_attention,junction,low,moderate,no,maintain_speed,maintain_speed,slow_down,medium,medium,medium,True,True,False,False,True,False,3
sample_023,/content/images/images_dashcam_sample100/sample_023.jpg,/content/topviews/topviews_locationmarked_100samples/sample_023_topview.png,junction,medium,complex,yes,medium,yield,junction,medium,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,True,False,False,True,False,3
sample_024,/content/images/images_dashcam_sample100/sample_024.jpg,/content/topviews/topviews_locationmarked_100samples/sample_024_topview.png,residential,low,moderate,yes,medium,increase_attention,urban_arterial,low,simple,no,maintain_speed,maintain_speed,slow_down,low,medium,medium,False,True,False,False,True,False,2
sample_025,/content/images/images_dashcam_sample100/sample_025.jpg,/content/topviews/topviews_locationmarked_100samples/sample_025_topview.png,urban_arterial,low,moderate,yes,medium,slow_down,urban_arterial,low,moderate,no,maintain_speed,slow_down,slow_down,medium,medium,medium,True,True,True,False,True,True,5
sample_026,/content/images/images_dashcam_sample100/sample_026.jpg,/content/topviews/topviews_locationmarked_100samples/sample_026_topview.png,urban_arterial,low,moderate,yes,medium,slow_down,urban_arterial,medium,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,True,False,True,False,True,True,4
sample_027,/content/images/images_dashcam_sample100/sample_027.jpg,/content/topviews/topviews_locationmarked_100samples/sample_027_topview.png,residential,medium,moderate,yes,medium,slow_down,urban_arterial,medium,moderate,no,increase_attention,slow_down,maintain_speed,medium,medium,medium,False,True,True,False,True,True,4
sample_028,/content/images/images_dashcam_sample100/sample_028.jpg,/content/topviews/topviews_locationmarked_100samples/sample_028_topview.png,residential,low,moderate,no,low,maintain_speed,urban_arterial,medium,moderate,no,increase_attention,slow_down,slow_down,medium,medium,medium,False,False,True,True,False,False,2
sample_029,/content/images/images_dashcam_sample100/sample_029.jpg,/content/topviews/topviews_locationmarked_100samples/sample_029_topview.png,urban_arterial,low,moderate,no,low,maintain_speed,urban_arterial,low,moderate,no,maintain_speed,slow_down,maintain_speed,low,medium,low,True,True,True,True,True,False,5
sample_030,/content/images/images_dashcam_sample100/sample_030.jpg,/content/topviews/topviews_locationmarked_100samples/sample_030_topview.png,urban_arterial,low,simple,no,low,maintain_speed,urban_arterial,low,simple,no,increase_attention,slow_down,slow_down,low,medium,low,True,True,True,True,True,False,5
sample_031,/content/images/images_dashcam_sample100/sample_031.jpg,/content/topviews/topviews_locationmarked_100samples/sample_031_topview.png,urban_arterial,low,moderate,yes,medium,increase_attention,highway,low,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,low,False,True,True,False,False,False,2
sample_032,/content/images/images_dashcam_sample100/sample_032.jpg,/content/topviews/topviews_locationmarked_100samples/sample_032_topview.png,junction,medium,complex,no,medium,increase_attention,highway,medium,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,False,True,True,False,3
sample_033,/content/images/images_dashcam_sample100/sample_033.jpg,/content/topviews/topviews_locationmarked_100samples/sample_033_topview.png,junction,medium,complex,yes,medium,increase_attention,junction,medium,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,True,False,False,True,False,3
sample_034,/content/images/images_dashcam_sample100/sample_034.jpg,/content/topviews/topviews_locationmarked_100samples/sample_034_topview.png,junction,high,complex,yes,high,slow_down,junction,medium,complex,no,increase_attention,slow_down,maintain_speed,medium,medium,medium,True,False,True,False,False,True,3
sample_035,/content/images/images_dashcam_sample100/sample_035.jpg,/content/topviews/topviews_locationmarked_100samples/sample_035_topview.png,junction,high,complex,no,medium,slow_down,junction,medium,complex,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,True,False,True,True,True,False,4
sample_036,/content/images/images_dashcam_sample100/sample_036.jpg,/content/topviews/topviews_locationmarked_100samples/sample_036_topview.png,junction,high,complex,yes,high,slow_down,junction,high,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,True,False,False,False,True,3
sample_037,/content/images/images_dashcam_sample100/sample_037.jpg,/content/topviews/topviews_locationmarked_100samples/sample_037_topview.png,junction,high,complex,yes,high,slow_down,junction,medium,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,False,False,False,False,True,2
sample_038,/content/images/images_dashcam_sample100/sample_038.jpg,/content/topviews/topviews_locationmarked_100samples/sample_038_topview.png,junction,high,complex,yes,high,slow_down,junction,medium,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,True,False,False,False,False,False,1
sample_039,/content/images/images_dashcam_sample100/sample_039.jpg,/content/topviews/topviews_locationmarked_100samples/sample_039_topview.png,junction,high,complex,yes,high,slow_down,junction,high,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,True,False,False,False,True,3
sample_040,/content/images/images_dashcam_sample100/sample_040.jpg,/content/topviews/topviews_locationmarked_100samples/sample_040_topview.png,junction,high,complex,yes,high,yield,junction,high,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,True,False,False,False,False,2
sample_041,/content/images/images_dashcam_sample100/sample_041.jpg,/content/topviews/topviews_locationmarked_100samples/sample_041_topview.png,junction,high,complex,yes,high,yield,junction,medium,moderate,yes,prepare_to_stop,slow_down,slow_down,high,medium,medium,True,False,False,True,False,False,2
sample_042,/content/images/images_dashcam_sample100/sample_042.jpg,/content/topviews/topviews_locationmarked_100samples/sample_042_topview.png,urban_arterial,low,moderate,no,low,maintain_speed,urban_arterial,medium,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,low,medium,medium,True,False,True,True,False,False,3
sample_043,/content/images/images_dashcam_sample100/sample_043.jpg,/content/topviews/topviews_locationmarked_100samples/sample_043_topview.png,highway,low,simple,no,low,maintain_speed,highway,low,simple,no,maintain_speed,prepare_to_stop,slow_down,low,medium,medium,True,True,True,True,False,False,4
sample_044,/content/images/images_dashcam_sample100/sample_044.jpg,/content/topviews/topviews_locationmarked_100samples/sample_044_topview.png,highway,low,simple,yes,medium,increase_attention,highway,low,simple,no,prepare_to_stop,slow_down,maintain_speed,low,low,low,True,True,True,False,False,False,3
sample_045,/content/images/images_dashcam_sample100/sample_045.jpg,/content/topviews/topviews_locationmarked_100samples/sample_045_topview.png,highway,low,simple,no,low,maintain_speed,urban_arterial,low,simple,no,maintain_speed,slow_down,maintain_speed,low,low,medium,False,True,True,True,False,False,3
sample_046,/content/images/images_dashcam_sample100/sample_046.jpg,/content/topviews/topviews_locationmarked_100samples/sample_046_topview.png,urban_arterial,low,moderate,yes,medium,increase_attention,junction,low,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,False,True,True,False,True,False,3
sample_047,/content/images/images_dashcam_sample100/sample_047.jpg,/content/topviews/topviews_locationmarked_100samples/sample_047_topview.png,urban_arterial,medium,simple,yes,high,slow_down,urban_arterial,medium,moderate,no,maintain_speed,prepare_to_stop,maintain_speed,medium,medium,medium,True,True,False,False,False,False,2
sample_048,/content/images/images_dashcam_sample100/sample_048.jpg,/content/topviews/topviews_locationmarked_100samples/sample_048_topview.png,residential,low,moderate,yes,medium,increase_attention,urban_arterial,low,simple,yes,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,True,False,True,True,False,3
sample_049,/content/images/images_dashcam_sample100/sample_049.jpg,/content/topviews/topviews_locationmarked_100samples/sample_049_topview.png,urban_arterial,low,moderate,no,medium,maintain_speed,junction,low,moderate,no,maintain_speed,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,True,True,False,4
sample_050,/content/images/images_dashcam_sample100/sample_050.jpg,/content/topviews/topviews_locationmarked_100samples/sample_050_topview.png,urban_arterial,low,moderate,no,medium,increase_attention,urban_arterial,low,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,low,medium,medium,True,True,True,True,True,False,5
sample_051,/content/images/images_dashcam_sample100/sample_051.jpg,/content/topviews/topviews_locationmarked_100samples/sample_051_topview.png,urban_arterial,medium,moderate,yes,high,slow_down,junction,medium,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,False,False,False,2
sample_052,/content/images/images_dashcam_sample100/sample_052.jpg,/content/topviews/topviews_locationmarked_100samples/sample_052_topview.png,urban_arterial,low,simple,no,medium,increase_attention,residential,medium,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,False,False,False,True,True,False,2
sample_053,/content/images/images_dashcam_sample100/sample_053.jpg,/content/topviews/topviews_locationmarked_100samples/sample_053_topview.png,urban_arterial,low,simple,no,low,maintain_speed,junction,low,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,low,medium,medium,False,True,False,True,False,False,2
sample_054,/content/images/images_dashcam_sample100/sample_054.jpg,/content/topviews/topviews_locationmarked_100samples/sample_054_topview.png,urban_arterial,low,simple,no,medium,increase_attention,urban_arterial,low,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,True,False,True,True,False,4
sample_055,/content/images/images_dashcam_sample100/sample_055.jpg,/content/topviews/topviews_locationmarked_100samples/sample_055_topview.png,residential,low,simple,yes,medium,prepare_to_stop,residential,low,simple,no,prepare_to_stop,prepare_to_stop,slow_down,low,medium,medium,True,True,True,False,True,True,5
sample_056,/content/images/images_dashcam_sample100/sample_056.jpg,/content/topviews/topviews_locationmarked_100samples/sample_056_topview.png,residential,low,simple,yes,medium,slow_down,residential,low,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,True,True,False,False,True,True,4
sample_057,/content/images/images_dashcam_sample100/sample_057.jpg,/content/topviews/topviews_locationmarked_100samples/sample_057_topview.png,urban_arterial,high,complex,yes,high,slow_down,junction,high,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,False,True,False,False,False,False,1
sample_058,/content/images/images_dashcam_sample100/sample_058.jpg,/content/topviews/topviews_locationmarked_100samples/sample_058_topview.png,junction,high,complex,yes,high,yield,junction,medium,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,True,False,False,False,False,False,1
sample_059,/content/images/images_dashcam_sample100/sample_059.jpg,/content/topviews/topviews_locationmarked_100samples/sample_059_topview.png,highway,medium,moderate,yes,medium,increase_attention,urban_arterial,medium,moderate,no,maintain_speed,prepare_to_stop,slow_down,medium,medium,medium,False,True,True,False,True,False,3
sample_060,/content/images/images_dashcam_sample100/sample_060.jpg,/content/topviews/topviews_locationmarked_100samples/sample_060_topview.png,highway,medium,moderate,yes,medium,increase_attention,highway,medium,moderate,no,maintain_speed,maintain_speed,maintain_speed,medium,medium,medium,True,True,True,False,True,False,4
sample_061,/content/images/images_dashcam_sample100/sample_061.jpg,/content/topviews/topviews_locationmarked_100samples/sample_061_topview.png,residential,medium,moderate,yes,medium,slow_down,junction,high,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,False,False,True,False,True,False,2
sample_062,/content/images/images_dashcam_sample100/sample_062.jpg,/content/topviews/topviews_locationmarked_100samples/sample_062_topview.png,residential,high,moderate,yes,high,slow_down,urban_arterial,high,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,True,True,False,False,True,3
sample_063,/content/images/images_dashcam_sample100/sample_063.jpg,/content/topviews/topviews_locationmarked_100samples/sample_063_topview.png,residential,medium,moderate,yes,medium,slow_down,junction,medium,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,True,True,False,True,True,4
sample_064,/content/images/images_dashcam_sample100/sample_064.jpg,/content/topviews/topviews_locationmarked_100samples/sample_064_topview.png,residential,medium,moderate,yes,high,prepare_to_stop,urban_arterial,medium,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,False,False,True,3
sample_065,/content/images/images_dashcam_sample100/sample_065.jpg,/content/topviews/topviews_locationmarked_100samples/sample_065_topview.png,residential,medium,moderate,yes,medium,increase_attention,urban_arterial,medium,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,False,True,True,False,True,False,3
sample_066,/content/images/images_dashcam_sample100/sample_066.jpg,/content/topviews/topviews_locationmarked_100samples/sample_066_topview.png,residential,medium,moderate,yes,medium,increase_attention,urban_arterial,medium,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,False,True,False,3
sample_067,/content/images/images_dashcam_sample100/sample_067.jpg,/content/topviews/topviews_locationmarked_100samples/sample_067_topview.png,residential,medium,moderate,yes,medium,increase_attention,urban_arterial,medium,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,False,True,False,3
sample_068,/content/images/images_dashcam_sample100/sample_068.jpg,/content/topviews/topviews_locationmarked_100samples/sample_068_topview.png,residential,medium,moderate,yes,high,prepare_to_stop,junction,medium,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,False,False,True,3
sample_069,/content/images/images_dashcam_sample100/sample_069.jpg,/content/topviews/topviews_locationmarked_100samples/sample_069_topview.png,residential,low,moderate,yes,high,prepare_to_stop,urban_arterial,low,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,False,False,True,3
sample_070,/content/images/images_dashcam_sample100/sample_070.jpg,/content/topviews/topviews_locationmarked_100samples/sample_070_topview.png,residential,medium,moderate,yes,high,prepare_to_stop,junction,medium,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,False,True,True,False,False,True,3
sample_071,/content/images/images_dashcam_sample100/sample_071.jpg,/content/topviews/topviews_locationmarked_100samples/sample_071_topview.png,residential,low,simple,yes,medium,slow_down,urban_arterial,low,simple,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,True,True,False,True,True,4
sample_072,/content/images/images_dashcam_sample100/sample_072.jpg,/content/topviews/topviews_locationmarked_100samples/sample_072_topview.png,highway,high,moderate,yes,medium,increase_attention,highway,medium,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,False,True,False,True,False,3
sample_073,/content/images/images_dashcam_sample100/sample_073.jpg,/content/topviews/topviews_locationmarked_100samples/sample_073_topview.png,highway,high,moderate,no,medium,slow_down,urban_arterial,medium,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,False,False,True,True,True,True,4
sample_074,/content/images/images_dashcam_sample100/sample_074.jpg,/content/topviews/topviews_locationmarked_100samples/sample_074_topview.png,highway,high,complex,yes,high,slow_down,highway,high,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,True,True,False,False,False,True,3
sample_075,/content/images/images_dashcam_sample100/sample_075.jpg,/content/topviews/topviews_locationmarked_100samples/sample_075_topview.png,highway,medium,complex,no,medium,increase_attention,highway,medium,moderate,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,True,True,False,True,True,False,4
sample_076,/content/images/images_dashcam_sample100/sample_076.jpg,/content/topviews/topviews_locationmarked_100samples/sample_076_topview.png,highway,high,complex,yes,medium,increase_attention,highway,medium,moderate,no,increase_attention,maintain_speed,slow_down,medium,medium,medium,True,False,False,False,True,False,2
sample_077,/content/images/images_dashcam_sample100/sample_077.jpg,/content/topviews/topviews_locationmarked_100samples/sample_077_topview.png,residential,low,simple,no,medium,increase_attention,highway,medium,simple,no,prepare_to_stop,slow_down,maintain_speed,medium,low,medium,False,False,True,True,True,False,3
sample_078,/content/images/images_dashcam_sample100/sample_078.jpg,/content/topviews/topviews_locationmarked_100samples/sample_078_topview.png,residential,low,simple,no,medium,increase_attention,highway,low,simple,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,low,medium,False,True,True,True,True,False,4
sample_079,/content/images/images_dashcam_sample100/sample_079.jpg,/content/topviews/topviews_locationmarked_100samples/sample_079_topview.png,residential,low,simple,no,medium,increase_attention,highway,low,simple,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,True,True,False,4
sample_080,/content/images/images_dashcam_sample100/sample_080.jpg,/content/topviews/topviews_locationmarked_100samples/sample_080_topview.png,residential,low,simple,no,medium,increase_attention,highway,medium,simple,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,False,True,True,True,False,3
sample_081,/content/images/images_dashcam_sample100/sample_081.jpg,/content/topviews/topviews_locationmarked_100samples/sample_081_topview.png,residential,medium,simple,no,medium,increase_attention,highway,medium,simple,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,low,medium,False,True,True,True,True,False,4
sample_082,/content/images/images_dashcam_sample100/sample_082.jpg,/content/topviews/topviews_locationmarked_100samples/sample_082_topview.png,residential,medium,simple,no,medium,increase_attention,highway,high,simple,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,False,True,True,True,False,3
sample_083,/content/images/images_dashcam_sample100/sample_083.jpg,/content/topviews/topviews_locationmarked_100samples/sample_083_topview.png,residential,low,simple,no,medium,increase_attention,highway,low,simple,no,prepare_to_stop,prepare_to_stop,maintain_speed,medium,medium,medium,False,True,True,True,True,False,4
sample_084,/content/images/images_dashcam_sample100/sample_084.jpg,/content/topviews/topviews_locationmarked_100samples/sample_084_topview.png,residential,low,simple,no,medium,increase_attention,highway,low,simple,no,prepare_to_stop,prepare_to_stop,maintain_speed,high,low,high,False,True,True,True,False,False,3
sample_085,/content/images/images_dashcam_sample100/sample_085.jpg,/content/topviews/topviews_locationmarked_100samples/sample_085_topview.png,residential,medium,simple,no,medium,increase_attention,highway,high,simple,no,prepare_to_stop,slow_down,maintain_speed,medium,low,medium,False,False,True,True,True,False,3
sample_086,/content/images/images_dashcam_sample100/sample_086.jpg,/content/topviews/topviews_locationmarked_100samples/sample_086_topview.png,residential,medium,simple,no,medium,increase_attention,highway,medium,simple,no,prepare_to_stop,slow_down,maintain_speed,high,medium,medium,False,True,True,True,True,False,4
sample_087,/content/images/images_dashcam_sample100/sample_087.jpg,/content/topviews/topviews_locationmarked_100samples/sample_087_topview.png,residential,medium,simple,no,medium,slow_down,highway,high,simple,no,prepare_to_stop,prepare_to_stop,maintain_speed,high,medium,medium,False,False,True,True,True,False,3
sample_088,/content/images/images_dashcam_sample100/sample_088.jpg,/content/topviews/topviews_locationmarked_100samples/sample_088_topview.png,junction,high,complex,yes,high,yield,urban_arterial,low,moderate,no,increase_attention,prepare_to_stop,slow_down,medium,medium,medium,False,False,False,False,False,False,0
sample_089,/content/images/images_dashcam_sample100/sample_089.jpg,/content/topviews/topviews_locationmarked_100samples/sample_089_topview.png,junction,high,complex,yes,high,yield,urban_arterial,low,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,low,medium,medium,False,False,False,False,False,False,0
sample_090,/content/images/images_dashcam_sample100/sample_090.jpg,/content/topviews/topviews_locationmarked_100samples/sample_090_topview.png,junction,high,complex,yes,high,yield,junction,low,moderate,no,maintain_speed,maintain_speed,slow_down,low,medium,medium,True,False,False,False,False,False,1
sample_091,/content/images/images_dashcam_sample100/sample_091.jpg,/content/topviews/topviews_locationmarked_100samples/sample_091_topview.png,junction,high,complex,yes,high,yield,urban_arterial,low,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,low,medium,medium,False,False,False,False,False,False,0
sample_092,/content/images/images_dashcam_sample100/sample_092.jpg,/content/topviews/topviews_locationmarked_100samples/sample_092_topview.png,highway,high,complex,yes,high,slow_down,junction,medium,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,False,False,False,False,True,1
sample_093,/content/images/images_dashcam_sample100/sample_093.jpg,/content/topviews/topviews_locationmarked_100samples/sample_093_topview.png,highway,high,complex,no,high,slow_down,junction,medium,moderate,no,prepare_to_stop,slow_down,slow_down,medium,medium,medium,False,False,False,True,False,True,2
sample_094,/content/images/images_dashcam_sample100/sample_094.jpg,/content/topviews/topviews_locationmarked_100samples/sample_094_topview.png,highway,high,complex,no,medium,increase_attention,junction,medium,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,medium,medium,False,False,False,True,True,False,2
sample_095,/content/images/images_dashcam_sample100/sample_095.jpg,/content/topviews/topviews_locationmarked_100samples/sample_095_topview.png,urban_arterial,medium,complex,yes,medium,slow_down,urban_arterial,medium,moderate,no,maintain_speed,slow_down,maintain_speed,medium,medium,medium,True,True,False,False,True,True,4
sample_096,/content/images/images_dashcam_sample100/sample_096.jpg,/content/topviews/topviews_locationmarked_100samples/sample_096_topview.png,residential,high,moderate,yes,high,slow_down,junction,high,moderate,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,False,True,True,False,False,False,2
sample_097,/content/images/images_dashcam_sample100/sample_097.jpg,/content/topviews/topviews_locationmarked_100samples/sample_097_topview.png,residential,high,moderate,yes,high,slow_down,junction,high,moderate,no,prepare_to_stop,slow_down,slow_down,medium,low,medium,False,True,True,False,False,True,3
sample_098,/content/images/images_dashcam_sample100/sample_098.jpg,/content/topviews/topviews_locationmarked_100samples/sample_098_topview.png,residential,medium,moderate,yes,medium,slow_down,junction,medium,moderate,no,prepare_to_stop,slow_down,maintain_speed,medium,low,medium,False,True,True,False,True,True,4
